Date,Event
14/5/2020,Final Exams
15/5/2020,Final Exams
13/4/2021,Final Exams
14/4/2021,Final Exams
15/4/2021,Final Exams
16/4/2021,Final Exams
17/4/2021,Final Exams
18/4/2021,Final Exams
19/4/2021,Final Exams
20/4/2021,Final Exams
21/4/2021,Final Exams
22/4/2021,Final Exams
23/4/2021,Final Exams
24/4/2021,Final Exams
25/4/2021,Final Exams
26/4/2021,Final Exams
27/4/2021,Final Exams
28/4/2021,Final Exams
29/4/2021,Final Exams
7/9/2002,School Start
8/9/2002,School Start
9/9/2002,School Start
10/9/2002,School Start
11/9/2002,School Start
12/9/2002,School Start
13/9/2002,School Start
14/9/2002,School Start
15/9/2002,School Start
16/9/2002,School Start
17/9/2002,School Start
18/9/2002,School Start
19/9/2002,School Start
20/9/2002,School Start
21/9/2002,School Start
6/9/2003,School Start
7/9/2003,School Start
8/9/2003,School Start
9/9/2003,School Start
10/9/2003,School Start
11/9/2003,School Start
12/9/2003,School Start
13/9/2003,School Start
14/9/2003,School Start
15/9/2003,School Start
16/9/2003,School Start
17/9/2003,School Start
18/9/2003,School Start
19/9/2003,School Start
20/9/2003,School Start
4/9/2004,School Start
5/9/2004,School Start
6/9/2004,School Start
7/9/2004,School Start
8/9/2004,School Start
9/9/2004,School Start
10/9/2004,School Start
11/9/2004,School Start
12/9/2004,School Start
13/9/2004,School Start
14/9/2004,School Start
15/9/2004,School Start
16/9/2004,School Start
17/9/2004,School Start
18/9/2004,School Start
3/9/2005,School Start
4/9/2005,School Start
5/9/2005,School Start
6/9/2005,School Start
7/9/2005,School Start
8/9/2005,School Start
9/9/2005,School Start
10/9/2005,School Start
11/9/2005,School Start
12/9/2005,School Start
13/9/2005,School Start
14/9/2005,School Start
15/9/2005,School Start
16/9/2005,School Start
17/9/2005,School Start
2/9/2006,School Start
3/9/2006,School Start
4/9/2006,School Start
5/9/2006,School Start
6/9/2006,School Start
7/9/2006,School Start
8/9/2006,School Start
9/9/2006,School Start
10/9/2006,School Start
11/9/2006,School Start
12/9/2006,School Start
13/9/2006,School Start
14/9/2006,School Start
15/9/2006,School Start
16/9/2006,School Start
1/9/2007,School Start
2/9/2007,School Start
3/9/2007,School Start
4/9/2007,School Start
5/9/2007,School Start
6/9/2007,School Start
7/9/2007,School Start
8/9/2007,School Start
9/9/2007,School Start
10/9/2007,School Start
11/9/2007,School Start
12/9/2007,School Start
13/9/2007,School Start
14/9/2007,School Start
15/9/2007,School Start
4/10/2008,School Start
5/10/2008,School Start
6/10/2008,School Start
7/10/2008,School Start
8/10/2008,School Start
9/10/2008,School Start
10/10/2008,School Start
11/10/2008,School Start
12/10/2008,School Start
13/10/2008,School Start
14/10/2008,School Start
15/10/2008,School Start
16/10/2008,School Start
17/10/2008,School Start
18/10/2008,School Start
3/10/2009,School Start
4/10/2009,School Start
5/10/2009,School Start
6/10/2009,School Start
7/10/2009,School Start
8/10/2009,School Start
9/10/2009,School Start
10/10/2009,School Start
11/10/2009,School Start
12/10/2009,School Start
13/10/2009,School Start
14/10/2009,School Start
15/10/2009,School Start
16/10/2009,School Start
17/10/2009,School Start
18/9/2010,School Start
19/9/2010,School Start
20/9/2010,School Start
21/9/2010,School Start
22/9/2010,School Start
23/9/2010,School Start
24/9/2010,School Start
25/9/2010,School Start
26/9/2010,School Start
27/9/2010,School Start
28/9/2010,School Start
29/9/2010,School Start
30/9/2010,School Start
1/10/2010,School Start
2/10/2010,School Start
3/9/2011,School Start
4/9/2011,School Start
5/9/2011,School Start
6/9/2011,School Start
7/9/2011,School Start
8/9/2011,School Start
9/9/2011,School Start
10/9/2011,School Start
11/9/2011,School Start
12/9/2011,School Start
13/9/2011,School Start
14/9/2011,School Start
15/9/2011,School Start
16/9/2011,School Start
17/9/2011,School Start
25/8/2012,School Start
26/8/2012,School Start
27/8/2012,School Start
28/8/2012,School Start
29/8/2012,School Start
30/8/2012,School Start
31/8/2012,School Start
1/9/2012,School Start
2/9/2012,School Start
3/9/2012,School Start
4/9/2012,School Start
5/9/2012,School Start
6/9/2012,School Start
7/9/2012,School Start
8/9/2012,School Start
25/8/2013,School Start
26/8/2013,School Start
27/8/2013,School Start
28/8/2013,School Start
29/8/2013,School Start
30/8/2013,School Start
31/8/2013,School Start
1/9/2013,School Start
2/9/2013,School Start
3/9/2013,School Start
4/9/2013,School Start
5/9/2013,School Start
6/9/2013,School Start
7/9/2013,School Start
8/9/2013,School Start
24/8/2014,School Start
25/8/2014,School Start
26/8/2014,School Start
27/8/2014,School Start
28/8/2014,School Start
29/8/2014,School Start
30/8/2014,School Start
31/8/2014,School Start
1/9/2014,School Start
2/9/2014,School Start
3/9/2014,School Start
4/9/2014,School Start
5/9/2014,School Start
6/9/2014,School Start
7/9/2014,School Start
16/8/2015,School Start
17/8/2015,School Start
18/8/2015,School Start
19/8/2015,School Start
20/8/2015,School Start
21/8/2015,School Start
22/8/2015,School Start
23/8/2015,School Start
24/8/2015,School Start
25/8/2015,School Start
26/8/2015,School Start
27/8/2015,School Start
28/8/2015,School Start
29/8/2015,School Start
30/8/2015,School Start
11/9/2016,School Start
12/9/2016,School Start
13/9/2016,School Start
14/9/2016,School Start
15/9/2016,School Start
16/9/2016,School Start
17/9/2016,School Start
18/9/2016,School Start
19/9/2016,School Start
20/9/2016,School Start
21/9/2016,School Start
22/9/2016,School Start
23/9/2016,School Start
24/9/2016,School Start
25/9/2016,School Start
3/9/2017,School Start
4/9/2017,School Start
5/9/2017,School Start
6/9/2017,School Start
7/9/2017,School Start
8/9/2017,School Start
9/9/2017,School Start
10/9/2017,School Start
11/9/2017,School Start
12/9/2017,School Start
13/9/2017,School Start
14/9/2017,School Start
15/9/2017,School Start
16/9/2017,School Start
17/9/2017,School Start
26/8/2018,School Start
27/8/2018,School Start
28/8/2018,School Start
29/8/2018,School Start
30/8/2018,School Start
31/8/2018,School Start
1/9/2018,School Start
2/9/2018,School Start
3/9/2018,School Start
4/9/2018,School Start
5/9/2018,School Start
6/9/2018,School Start
7/9/2018,School Start
8/9/2018,School Start
9/9/2018,School Start
25/8/2019,School Start
26/8/2019,School Start
27/8/2019,School Start
28/8/2019,School Start
29/8/2019,School Start
30/8/2019,School Start
31/8/2019,School Start
1/9/2019,School Start
2/9/2019,School Start
3/9/2019,School Start
4/9/2019,School Start
5/9/2019,School Start
6/9/2019,School Start
7/9/2019,School Start
8/9/2019,School Start
23/8/2020,School Start
24/8/2020,School Start
25/8/2020,School Start
26/8/2020,School Start
27/8/2020,School Start
28/8/2020,School Start
29/8/2020,School Start
30/8/2020,School Start
31/8/2020,School Start
1/9/2020,School Start
2/9/2020,School Start
3/9/2020,School Start
4/9/2020,School Start
5/9/2020,School Start
6/9/2020,School Start
22/8/2021,School Start
