iter	Logloss
0	0.6316339547
1	0.5843037285
2	0.5455713544
3	0.5167282879
4	0.4941245946
5	0.4756259014
6	0.4604972137
7	0.4486394587
8	0.4387112367
9	0.430894005
10	0.4242263165
11	0.4190778782
12	0.4141086263
13	0.4100959816
14	0.4068524159
15	0.4041019233
16	0.4017540084
17	0.3998039556
18	0.3982263676
19	0.3968678845
20	0.39544643
21	0.3945964844
22	0.3935629826
23	0.3927955552
24	0.3919449523
25	0.3912993557
26	0.3906797499
27	0.3901575018
28	0.3896894351
29	0.3892432622
30	0.3888326387
31	0.3884146699
32	0.388030538
33	0.387692779
34	0.3874739255
35	0.3872755195
36	0.3869683556
37	0.3867132408
38	0.3865201141
39	0.386294561
40	0.3860993303
41	0.3859080447
42	0.3857063289
43	0.3854811817
44	0.385219705
45	0.3851100004
46	0.3849293194
47	0.3847854794
48	0.3846612408
49	0.384457394
50	0.3842789633
51	0.3841056882
52	0.3839565821
53	0.3838035162
54	0.3837168454
55	0.383588175
56	0.383492126
57	0.3833860524
58	0.3832875591
59	0.3831938298
60	0.3830492498
61	0.3829399465
62	0.3828498111
63	0.3827516571
64	0.3825731225
65	0.3824982836
66	0.3824072655
67	0.3822930827
68	0.3822231862
69	0.3820755822
70	0.3819740513
71	0.3818849779
72	0.3817444109
73	0.3816328213
74	0.3815719128
75	0.3815255836
76	0.3814440612
77	0.3813458998
78	0.3813137571
79	0.381194283
80	0.3811123725
81	0.3810514345
82	0.3809744098
83	0.3808864276
84	0.3808282937
85	0.3807037637
86	0.3805663444
87	0.3805021228
88	0.3804265504
89	0.3803388228
90	0.3802681645
91	0.3801879683
92	0.3801227086
93	0.3800816602
94	0.380007863
95	0.3799577337
96	0.3798900402
97	0.3798238902
98	0.3797895544
99	0.3797013104
100	0.3796669634
101	0.3795664296
102	0.3794878206
103	0.3794027638
104	0.3793826708
105	0.3793266238
106	0.3792825513
107	0.3792331651
108	0.3791945463
109	0.379136364
110	0.3790916498
111	0.3789923745
112	0.3789177515
113	0.3788478568
114	0.3787665417
115	0.3787228277
116	0.3786526946
117	0.3786172246
118	0.3785523541
119	0.3784885935
120	0.3784351363
121	0.3783388703
122	0.3782761884
123	0.3781942298
124	0.3781101747
125	0.3780381605
126	0.3780050931
127	0.3779510054
128	0.3778916735
129	0.3778343082
130	0.377777167
131	0.377738229
132	0.3776615792
133	0.3775885956
134	0.3774795003
135	0.3774363064
136	0.3774038735
137	0.3773168669
138	0.3772660285
139	0.3771997949
140	0.3771193504
141	0.3770136316
142	0.3769569608
143	0.3768650347
144	0.3767859138
145	0.3767213916
146	0.3766764406
