Date,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Calculated
30-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
31-Mar-16,Max Temperature (Deg C),Weather,WOA,Makkah,32
1-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,33.2
2-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
3-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
4-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
5-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
6-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
7-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
8-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
9-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
10-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
11-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
12-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,35.4
13-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
14-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,33.1
15-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
16-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,39.2
17-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,39
18-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
19-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
20-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,39
21-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40.4
22-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
23-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
24-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40.2
25-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
26-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
27-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
28-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
29-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
30-Apr-16,Max Temperature (Deg C),Weather,WOA,Makkah,38.2
1-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
2-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,41.2
3-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,44.2
4-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
5-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
6-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
7-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,39
8-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
9-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
10-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
11-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,40.4
12-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
13-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
14-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,47
15-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
16-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
17-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,47.4
18-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,47
19-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,47
20-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
21-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
22-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
23-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
24-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,41.4
25-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.2
26-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.2
27-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
28-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
29-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
30-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
31-May-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
1-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
2-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
3-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
4-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,46.4
5-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
6-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
7-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
8-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,46
9-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
10-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,46
11-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
12-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,49
13-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.2
14-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
15-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
16-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
17-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.4
18-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
19-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,46
20-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
21-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
22-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
23-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
24-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
25-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
26-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
27-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
28-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
29-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
30-Jun-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
1-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
2-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
3-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.4
4-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
5-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.2
6-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
7-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.3
8-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.4
9-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
10-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
11-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
12-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
13-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
14-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
15-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
16-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44.1
17-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44.2
18-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
19-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
20-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
21-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
22-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
23-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,40.4
24-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,39
25-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,36.2
26-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.2
27-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,44.2
28-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
29-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
30-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
31-Jul-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
1-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
2-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
3-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
4-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
5-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.2
6-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
7-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
8-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,41.2
9-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.2
10-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.4
11-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
12-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
13-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
14-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,39
15-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.2
16-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,40.4
17-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,41.2
18-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
19-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
20-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.2
21-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.3
22-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
23-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
24-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.2
25-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
26-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
27-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.2
28-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
29-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.4
30-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
31-Aug-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
1-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
2-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
3-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,40.2
4-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.1
5-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
6-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.4
7-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
8-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
9-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
10-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
11-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.2
12-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
13-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.2
14-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
15-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,41.2
16-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,45
17-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
18-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,42.4
19-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,44.3
20-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
21-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
22-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,46.4
23-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
24-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
25-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
26-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
27-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
28-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43.4
29-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
30-Sep-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
1-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
2-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
3-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
4-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
5-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
6-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
7-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
8-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
9-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,44
10-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,40.4
11-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,43
12-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
13-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
14-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
15-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
16-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,41.3
17-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
18-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
19-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
20-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,42
21-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,38.4
22-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
23-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,41
24-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,39.2
25-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
26-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,38.4
27-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,39.2
28-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
29-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,39.2
30-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
31-Oct-16,Max Temperature (Deg C),Weather,WOA,Makkah,38.1
1-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
2-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,38.4
3-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
4-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
5-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
6-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,35.4
7-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,40
8-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,39
9-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,38
10-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,36.4
11-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,39
12-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
13-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
14-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,37.2
15-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
16-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
17-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
18-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
19-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,37
20-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
21-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
22-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
23-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,36
24-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,35
25-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,33
26-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,33.2
27-Nov-16,Max Temperature (Deg C),Weather,WOA,Makkah,34
