System_City_Calculated,Date,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
1083.225806451613,2012-01-31,1285.032258064516,1733.5,2343.8709677419356,2249.3,2659.032258064516,2331.3225806451615,2279.766666666667,2094.8709677419356,1713.2333333333333,1292.741935483871,1171.1785714285713,1017.6451612903226
1205.7586206896551,2012-02-29,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356,2249.3,2659.032258064516,2331.3225806451615,2279.766666666667,2094.8709677419356,1713.2333333333333,1292.741935483871,1171.1785714285713
1240.9032258064517,2012-03-31,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356,2249.3,2659.032258064516,2331.3225806451615,2279.766666666667,2094.8709677419356,1713.2333333333333,1292.741935483871
1939.4,2012-04-30,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356,2249.3,2659.032258064516,2331.3225806451615,2279.766666666667,2094.8709677419356,1713.2333333333333
2385.8387096774195,2012-05-31,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356,2249.3,2659.032258064516,2331.3225806451615,2279.766666666667,2094.8709677419356
2518.8333333333335,2012-06-30,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356,2249.3,2659.032258064516,2331.3225806451615,2279.766666666667
2692.2258064516127,2012-07-31,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356,2249.3,2659.032258064516,2331.3225806451615
2785.1290322580644,2012-08-31,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356,2249.3,2659.032258064516
2484.6666666666665,2012-09-30,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356,2249.3
2689.6774193548385,2012-10-31,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5,2343.8709677419356
1913.1666666666667,2012-11-30,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516,1733.5
1396.6129032258063,2012-12-31,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613,1285.032258064516
1305.1612903225807,2013-01-31,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551,1083.225806451613
1345.892857142857,2013-02-28,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517,1205.7586206896551
1553.0,2013-03-31,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4,1240.9032258064517
1878.9666666666667,2013-04-30,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195,1939.4
2488.5806451612902,2013-05-31,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335,2385.8387096774195
2630.6666666666665,2013-06-30,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127,2518.8333333333335
2880.1935483870966,2013-07-31,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644,2692.2258064516127
2708.032258064516,2013-08-31,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665,2785.1290322580644
2908.0333333333333,2013-09-30,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385,2484.6666666666665
2841.1612903225805,2013-10-31,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667,2689.6774193548385
1959.1666666666667,2013-11-30,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063,1913.1666666666667
1451.7096774193549,2013-12-31,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807,1396.6129032258063
1386.774193548387,2014-01-31,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857,1305.1612903225807
1402.107142857143,2014-02-28,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0,1345.892857142857
1707.1612903225807,2014-03-31,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667,1553.0
2313.2,2014-04-30,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902,1878.9666666666667
2635.5932258064518,2014-05-31,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665,2488.5806451612902
2858.6,2014-06-30,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966,2630.6666666666665
3119.8709677419356,2014-07-31,2858.6,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516,2880.1935483870966
2813.2258064516127,2014-08-31,3119.8709677419356,2858.6,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333,2708.032258064516
3116.7,2014-09-30,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805,2908.0333333333333
2742.7419354838707,2014-10-31,3116.7,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667,2841.1612903225805
1858.6666666666667,2014-11-30,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549,1959.1666666666667
1691.0967741935483,2014-12-31,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387,1451.7096774193549
1415.4516129032259,2015-01-31,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143,1386.774193548387
1682.75,2015-02-28,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518,2313.2,1707.1612903225807,1402.107142857143
2089.6129032258063,2015-03-31,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518,2313.2,1707.1612903225807
2227.0666666666666,2015-04-30,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518,2313.2
2818.7419354838707,2015-05-31,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356,2858.6,2635.5932258064518
2869.133333333333,2015-06-30,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356,2858.6
3355.4193548387098,2015-07-31,2869.133333333333,2818.7419354838707,2227.0666666666666,2089.6129032258063,1682.75,1415.4516129032259,1691.0967741935483,1858.6666666666667,2742.7419354838707,3116.7,2813.2258064516127,3119.8709677419356
