Date,Time,Datetime,System_City_Actual,Operating_Area,System_City
7-Sep-16,0:00,07SEP16:00:00,36,COA,Qassim
8-Sep-16,0:00,08SEP16:00:00,33.4,COA,Qassim
9-Sep-16,0:00,09SEP16:00:00,34,COA,Qassim
10-Sep-16,0:00,10SEP16:00:00,33,COA,Qassim
11-Sep-16,0:00,11SEP16:00:00,35,COA,Qassim
12-Sep-16,0:00,12SEP16:00:00,34,COA,Qassim
13-Sep-16,0:00,13SEP16:00:00,32.1,COA,Qassim
14-Sep-16,0:00,14SEP16:00:00,27,COA,Qassim
15-Sep-16,0:00,15SEP16:00:00,30,COA,Qassim
16-Sep-16,0:00,16SEP16:00:00,30,COA,Qassim
17-Sep-16,0:00,17SEP16:00:00,28,COA,Qassim
18-Sep-16,0:00,18SEP16:00:00,30,COA,Qassim
19-Sep-16,0:00,19SEP16:00:00,29,COA,Qassim
20-Sep-16,0:00,20SEP16:00:00,31,COA,Qassim
21-Sep-16,0:00,21SEP16:00:00,32,COA,Qassim
22-Sep-16,0:00,22SEP16:00:00,32,COA,Qassim
23-Sep-16,0:00,23SEP16:00:00,33,COA,Qassim
24-Sep-16,0:00,24SEP16:00:00,30,COA,Qassim
25-Sep-16,0:00,25SEP16:00:00,29,COA,Qassim
26-Sep-16,0:00,26SEP16:00:00,32,COA,Qassim
27-Sep-16,0:00,27SEP16:00:00,30,COA,Qassim
28-Sep-16,0:00,28SEP16:00:00,30,COA,Qassim
29-Sep-16,0:00,29SEP16:00:00,31,COA,Qassim
30-Sep-16,0:00,30SEP16:00:00,29,COA,Qassim
1-Jun-17,0:00,01JUN17:00:00,35,COA,Qassim
2-Jun-17,0:00,02JUN17:00:00,33.4,COA,Qassim
3-Jun-17,0:00,03JUN17:00:00,33,COA,Qassim
4-Jun-17,0:00,04JUN17:00:00,30,COA,Qassim
5-Jun-17,0:00,05JUN17:00:00,31,COA,Qassim
6-Jun-17,0:00,06JUN17:00:00,31,COA,Qassim
7-Jun-17,0:00,07JUN17:00:00,32,COA,Qassim
8-Jun-17,0:00,08JUN17:00:00,32,COA,Qassim
9-Jun-17,0:00,09JUN17:00:00,32,COA,Qassim
10-Jun-17,0:00,10JUN17:00:00,33,COA,Qassim
11-Jun-17,0:00,11JUN17:00:00,33,COA,Qassim
12-Jun-17,0:00,12JUN17:00:00,33,COA,Qassim
13-Jun-17,0:00,13JUN17:00:00,34,COA,Qassim
14-Jun-17,0:00,14JUN17:00:00,35,COA,Qassim
15-Jun-17,0:00,15JUN17:00:00,38,COA,Qassim
16-Jun-17,0:00,16JUN17:00:00,36,COA,Qassim
17-Jun-17,0:00,17JUN17:00:00,36,COA,Qassim
18-Jun-17,0:00,18JUN17:00:00,35,COA,Qassim
19-Jun-17,0:00,19JUN17:00:00,34,COA,Qassim
20-Jun-17,0:00,20JUN17:00:00,36,COA,Qassim
21-Jun-17,0:00,21JUN17:00:00,35,COA,Qassim
22-Jun-17,0:00,22JUN17:00:00,35,COA,Qassim
23-Jun-17,0:00,23JUN17:00:00,33,COA,Qassim
24-Jun-17,0:00,24JUN17:00:00,35,COA,Qassim
25-Jun-17,0:00,25JUN17:00:00,34,COA,Qassim
26-Jun-17,0:00,26JUN17:00:00,34,COA,Qassim
27-Jun-17,0:00,27JUN17:00:00,33,COA,Qassim
28-Jun-17,0:00,28JUN17:00:00,33,COA,Qassim
29-Jun-17,0:00,29JUN17:00:00,33,COA,Qassim
30-Jun-17,0:00,30JUN17:00:00,34,COA,Qassim
1-Jul-17,0:00,01JUL17:00:00,34,COA,Qassim
2-Jul-17,0:00,02JUL17:00:00,33,COA,Qassim
3-Jul-17,0:00,03JUL17:00:00,35,COA,Qassim
4-Jul-17,0:00,04JUL17:00:00,35,COA,Qassim
5-Jul-17,0:00,05JUL17:00:00,33,COA,Qassim
6-Jul-17,0:00,06JUL17:00:00,35,COA,Qassim
7-Jul-17,0:00,07JUL17:00:00,37,COA,Qassim
8-Jul-17,0:00,08JUL17:00:00,37,COA,Qassim
9-Jul-17,0:00,09JUL17:00:00,37,COA,Qassim
10-Jul-17,0:00,10JUL17:00:00,35,COA,Qassim
11-Jul-17,0:00,11JUL17:00:00,37,COA,Qassim
12-Jul-17,0:00,12JUL17:00:00,37,COA,Qassim
13-Jul-17,0:00,13JUL17:00:00,39,COA,Qassim
14-Jul-17,0:00,14JUL17:00:00,37,COA,Qassim
15-Jul-17,0:00,15JUL17:00:00,38,COA,Qassim
16-Jul-17,0:00,16JUL17:00:00,34,COA,Qassim
17-Jul-17,0:00,17JUL17:00:00,33,COA,Qassim
18-Jul-17,0:00,18JUL17:00:00,36,COA,Qassim
19-Jul-17,0:00,19JUL17:00:00,36,COA,Qassim
20-Jul-17,0:00,20JUL17:00:00,36,COA,Qassim
